timestamp=2019-10-23T12:20:46.581084, color=Black, temp=74, gravity=0.999, rssi=-67
timestamp=2019-10-23T12:21:31.803330, color=Black, temp=74, gravity=1.015, rssi=-62
timestamp=2019-10-23T12:21:51.899525, color=Black, temp=74, gravity=1.022, rssi=-61
timestamp=2019-10-23T12:22:13.006218, color=Black, temp=74, gravity=1.03, rssi=-65
timestamp=2019-10-23T12:22:32.087256, color=Black, temp=74, gravity=1.03, rssi=-66
timestamp=2019-10-23T12:22:55.209545, color=Black, temp=74, gravity=1.041, rssi=-63
timestamp=2019-10-23T12:23:13.284123, color=Black, temp=74, gravity=1.041, rssi=-65
timestamp=2019-10-23T12:23:40.430204, color=Black, temp=75, gravity=1.041, rssi=-68
timestamp=2019-10-23T12:23:59.541938, color=Black, temp=74, gravity=1.041, rssi=-64
timestamp=2019-10-23T12:24:28.684723, color=Black, temp=74, gravity=1.041, rssi=-60
timestamp=2019-10-23T12:24:50.811467, color=Black, temp=75, gravity=1.041, rssi=-63
timestamp=2019-10-23T12:26:54.381452, color=Black, temp=75, gravity=1.041, rssi=-62
timestamp=2019-10-23T12:27:19.501755, color=Black, temp=75, gravity=1.041, rssi=-62
timestamp=2019-10-23T12:27:37.598658, color=Black, temp=75, gravity=1.041, rssi=-61
timestamp=2019-10-23T12:27:57.694736, color=Black, temp=75, gravity=1.041, rssi=-60
timestamp=2019-10-23T12:28:19.790018, color=Black, temp=75, gravity=1.041, rssi=-62
timestamp=2019-10-23T12:28:50.943182, color=Black, temp=74, gravity=1.041, rssi=-60
timestamp=2019-10-23T12:29:37.182711, color=Black, temp=74, gravity=1.041, rssi=-60
timestamp=2019-10-23T12:31:22.719157, color=Black, temp=74, gravity=1.041, rssi=-63
timestamp=2019-10-23T12:32:44.133709, color=Black, temp=75, gravity=1.041, rssi=-62
timestamp=2019-10-23T12:33:57.504258, color=Black, temp=75, gravity=1.041, rssi=-65
timestamp=2019-10-23T12:35:37.993549, color=Black, temp=74, gravity=1.041, rssi=-64
timestamp=2019-10-23T12:36:44.333301, color=Black, temp=74, gravity=1.041, rssi=-67
timestamp=2019-10-23T12:38:19.803112, color=Black, temp=74, gravity=1.041, rssi=-60
timestamp=2019-10-23T12:39:22.104650, color=Black, temp=74, gravity=1.041, rssi=-62
timestamp=2019-10-23T12:40:07.317643, color=Black, temp=74, gravity=1.041, rssi=-65
timestamp=2019-10-23T12:41:04.601433, color=Black, temp=74, gravity=1.041, rssi=-63
timestamp=2019-10-23T12:42:18.962062, color=Black, temp=74, gravity=1.041, rssi=-62
timestamp=2019-10-23T12:43:55.372408, color=Black, temp=74, gravity=1.041, rssi=-65
timestamp=2019-10-23T12:44:37.560750, color=Black, temp=74, gravity=1.041, rssi=-62
timestamp=2019-10-23T12:46:05.007470, color=Black, temp=74, gravity=1.041, rssi=-61
timestamp=2019-10-23T12:47:04.308769, color=Black, temp=75, gravity=1.041, rssi=-62
timestamp=2019-10-23T12:47:38.458783, color=Black, temp=74, gravity=1.041, rssi=-61
timestamp=2019-10-23T12:47:58.535477, color=Black, temp=74, gravity=1.041, rssi=-66
timestamp=2019-10-23T12:48:37.685792, color=Black, temp=74, gravity=1.041, rssi=-61
timestamp=2019-10-23T12:49:16.882938, color=Black, temp=74, gravity=1.041, rssi=-59
timestamp=2019-10-23T12:49:52.034699, color=Black, temp=74, gravity=1.041, rssi=-61
timestamp=2019-10-23T12:50:37.245554, color=Black, temp=74, gravity=1.041, rssi=-61
timestamp=2019-10-23T12:51:17.414440, color=Black, temp=74, gravity=1.041, rssi=-61
timestamp=2019-10-23T12:51:51.598652, color=Black, temp=74, gravity=1.041, rssi=-59
timestamp=2019-10-23T12:52:16.727285, color=Black, temp=74, gravity=1.041, rssi=-61
timestamp=2019-10-23T12:52:46.909150, color=Black, temp=74, gravity=1.041, rssi=-61
timestamp=2019-10-23T12:53:09.014022, color=Black, temp=74, gravity=1.041, rssi=-63
timestamp=2019-10-23T12:53:38.173662, color=Black, temp=74, gravity=1.041, rssi=-62
timestamp=2019-10-23T12:54:21.387879, color=Black, temp=74, gravity=1.041, rssi=-60
